Stock Invested In,Sector,Value(Mn),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty
Maruti Suzuki India Ltd.,Passenger cars & utility vehicles,679.8,10.33%,0.08%,11.53%,9.43%,42.00 k,0.00
Hero Motocorp Ltd.,2/3 wheelers,471.2,7.16%,0.07%,7.16%,5.45%,85.00 k,0.00
Mahindra & Mahindra Ltd.,Passenger cars & utility vehicles,435.9,6.62%,0.09%,12.57%,6.53%,1.25 L,0.00
Bosch Ltd.,Auto components & equipments,335.2,5.09%,-0.14%,6.35%,4.93%,9.00 k,0.00
Hyundai Motor India Ltd.,Passenger cars & utility vehicles,317.0,4.82%,1.28%,4.82%,1.41%,1.30 L,40.00 k
Eicher Motors Ltd.,2/3 wheelers,315.3,4.79%,0.52%,4.79%,3.56%,45.00 k,5.00 k
Bajaj Auto Ltd.,2/3 wheelers,222.3,3.38%,0.08%,4.25%,2.38%,25.00 k,0.00
Motherson Sumi Systems Ltd.,Auto components & equipments,200.2,3.04%,-0.02%,3.77%,1.74%,19.00 L,0.00
InterGlobe Aviation Ltd.,Airline,196.9,2.99%,0.01%,5.16%,2.82%,35.00 k,0.00
Eternal Ltd.,E-retail/ e-commerce,190.7,2.90%,-0.07%,3.27%,2.1%,6.00 L,0.00
