Stock Invested in,Sector,Value(Mn),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty
Mahindra & Mahindra Ltd.,Passenger cars & utility vehicles,5594.8,13.96%,0.35%,15.29% (Jan 2025),13.48% (Aug 2025),16.04 L,28.71 k
Maruti Suzuki India Ltd.,Passenger cars & utility vehicles,4233.9,10.56%,-0.11%,10.67% (Sep 2025),9.38% (Jun 2025),2.62 L,-2.44 k
Eicher Motors Ltd.,2/3 wheelers,3885.6,9.69%,-0.10%,9.94% (Mar 2025),8.32% (Nov 2024),5.55 L,0.00
Eternal Ltd.,E-retail/ e-commerce,2699,6.73%,0.11%,6.97% (Jul 2025),3.73% (Jan 2025),84.94 L,4.20 L
InterGlobe Aviation Ltd.,Airline,2013.4,5.02%,-0.45%,6.46% (Mar 2025),5.02% (Oct 2025),3.58 L,-0.30 L
Bajaj Auto Ltd.,2/3 wheelers,1889.7,4.71%,0.06%,6.23% (Feb 2025),4.65% (Sep 2025),2.13 L,0.00
Hero Motocorp Ltd.,2/3 wheelers,1817,4.53%,0.01%,4.97% (Feb 2025),3.87% (Jun 2025),3.28 L,0.00
Hyundai Motor India Ltd.,Passenger cars & utility vehicles,1734.8,4.33%,0.51%,4.33% (Oct 2025),1.89% (Jan 2025),7.11 L,1.25 L
Adani Ports And Special Economic Zone Ltd.,Port & port services,1562,3.90%,0.09%,5.58% (May 2025),3.78% (Aug 2025),10.76 L,0.00
TVS Motor Company Ltd.,2/3 wheelers,1415.5,3.53%,0.03%,3.53% (Oct 2025),2.72% (Dec 2024),4.03 L,0.00
