Stock Invested in,Sector,Value (Mn),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity (L),1M Change in Qty (L)
Mahindra & Mahindra Ltd.,Passenger cars & utility vehicles,4131.4,13.69%,-0.29%,15.24% (Jan 2025),11.91% (Jun 2025),11.85,-0.45
TVS Motor Company Ltd.,2/3 wheelers,2536.2,8.40%,-0.62%,10.2% (Aug 2025),8.4% (Oct 2025),7.23,-0.68
Maruti Suzuki India Ltd.,Passenger cars & utility vehicles,2453.0,8.13%,-0.84%,9.83% (Feb 2025),7.93% (May 2025),1.52,-0.17
Eternal Ltd.,E-retail/ e-commerce,2383.6,7.90%,-0.20%,8.75% (Feb 2025),6.55% (Jan 2025),75.02,0.0
InterGlobe Aviation Ltd.,Airline,1573.4,5.21%,2.08%,5.21% (Oct 2025),1.53% (May 2025),2.8,1.11
Tata Motors Passenger Vehicles Ltd.,Passenger cars & utility vehicles,1458.9,4.83%,-3.20%,8.82% (Mar 2025),4.83% (Oct 2025),35.58,0.0
Bajaj Auto Ltd.,2/3 wheelers,1404.1,4.65%,0.11%,4.65% (Oct 2025),1.48% (Feb 2025),1.58,0.0
Eicher Motors Ltd.,2/3 wheelers,1310.9,4.34%,-1.94%,7.61% (Mar 2025),4.34% (Oct 2025),1.87,-0.83
Hyundai Motor India Ltd.,Passenger cars & utility vehicles,1005.8,3.33%,-1.06%,4.39% (Sep 2025),2.26% (Dec 2024),4.12,-1.0
TML Commercial Vehicles Ltd.,Commercial vehicles,927.8,3.07%,3.07%,3.07% (Oct 2025),0% (Nov 2024),35.58,35.58
