Stock,agg_pct_sum
Maruti Suzuki India Ltd.,58.47
Mahindra & Mahindra Ltd.,56.519999999999996
Eternal Ltd.,32.510000000000005
Hero Motocorp Ltd.,31.27
Eicher Motors Ltd.,28.08
Bajaj Auto Ltd.,26.68
InterGlobe Aviation Ltd.,23.91
Hyundai Motor India Ltd.,19.52
TVS Motor Company Ltd.,16.79
Adani Ports And Special Economic Zone Ltd.,11.76
Bosch Ltd.,11.54
Motherson Sumi Systems Ltd.,8.51
Swiggy Ltd.,6.14
Gabriel India Ltd.,5.91
Tata Motors Passenger Vehicles Ltd.,4.83
WABCO India Ltd.,4.14
Minda Corporation Ltd.,3.46
Great Eastern Shipping Co. Ltd.,3.3
MRF Ltd.,3.2
Apollo Tyres Limited,3.18
TML Commercial Vehicles Ltd.,3.07
